num,0-bamnet,1-hardem,2-BM25,3-bert-fused,4-Mass,5-srmrs,6-deepnmt,7-ernie,8-mbart,9-presumm,10-our,11-bam+,human1,human2
0,5,6,7,3,5,2,0,7,4,3,5,5,5,7
1,0,3,3,0,2,7,0,0,0,2,2,2,9,6
2,5,0,2,7,5,2,5,0,3,5,6,5,6,8
3,0,1,4,1,1,1,1,4,0,2,3,3,4,9
4,5,5,10,6,4,3,7,10,3,7,8,8,4,8
5,8,6,0,4,8,4,6,4,6,8,8,8,4,5
6,2,0,0,0,2,0,0,0,0,1,1,1,4,6
7,0,5,3,3,6,2,0,3,3,4,5,5,8,6
8,8,5,6,0,2,0,3,2,5,6,5,6,9,7
9,0,0,1,0,3,6,0,6,5,3,4,3,4,3
10,0,0,0,0,0,0,0,3,0,0,0,0,4,6
11,0,2,2,3,3,2,0,0,5,4,4,4,4,6
12,0,0,2,2,0,5,2,2,5,3,3,3,6,4
13,0,2,5,0,2,2,2,2,3,4,3,3,6,8
14,3,3,7,3,6,4,3,7,4,2,3,3,4,3
15,2,0,2,0,0,0,0,0,0,0,4,0,4,6
16,3,5,5,2,4,8,3,9,8,10,8,10,6,8
17,2,2,2,2,0,4,2,0,2,2,4,4,6,4
18,0,0,3,0,0,2,0,0,0,0,0,0,4,8
19,5,10,5,10,10,10,10,10,10,10,10,10,10,10
20,0,2,3,0,7,3,6,7,7,7,7,7,7,7
21,4,2,6,0,4,3,3,2,5,5,5,5,4,5
22,2,1,2,2,2,2,2,4,2,2,2,2,3,4
23,0,2,0,0,0,3,0,2,2,4,7,5,3,2
24,0,2,1,8,3,6,8,6,8,6,6,6,4,10
25,0,3,7,3,2,3,0,1,3,3,3,3,7,6
26,10,0,8,0,0,1,4,8,3,4,3,3,9,5
27,10,7,0,10,10,8,10,7,10,7,8,7,10,10
28,0,3,7,0,0,3,0,7,6,0,2,2,7,9
29,0,0,0,0,2,0,0,1,0,2,2,2,2,4
30,1,5,5,2,2,7,1,5,7,5,5,5,5,8
31,0,0,0,0,0,0,0,0,0,0,0,0,8,4
32,8,6,8,0,0,8,0,8,0,0,0,0,4,6
33,1,0,0,2,2,2,0,0,0,2,2,2,2,2
34,0,4,0,8,10,0,10,4,10,6,8,8,10,10
35,0,0,2,0,0,0,2,0,2,3,2,2,8,7
36,0,0,0,0,0,0,0,0,0,2,2,2,6,7
37,0,2,5,1,0,1,4,2,6,3,4,3,8,4
38,8,2,2,4,10,2,4,8,4,8,8,4,8,7
39,0,0,0,0,0,0,0,0,0,0,0,0,8,6
40,0,0,0,0,0,0,0,0,0,0,0,0,3,6
41,0,2,0,7,2,2,4,4,2,2,4,2,5,3
42,2,4,6,2,6,0,4,4,0,6,8,6,6,5
43,10,10,10,4,0,10,0,10,0,5,5,5,7,6
44,0,0,0,0,0,3,0,2,2,5,5,5,7,6
